b_name,market_share,country_of_origin,website,number_of_suppliers,number_of_employees,CEO
Asus,20,USA,www.asus.com,35,500,"Craig Norris"
LG,15,Japan,www.lg.com,40,700,"Michael Valdez"
Lenovo,10,China,www.lenovo.com,25,550,"Terrance Williams"
HP,5,China,www.hp.com,40,620,"Jacob Woods"
Apple,30,USA,www.apple.com,75,1200,"Jan Bass"
Acer,10,Germany,www.acer.com,63,300,"Margaret Gordon"
Philips,5,France,www.philips.com,20,480,"Dallas Chavez"
Samsung,7,Belgium,www.samsung.com,40,360,"Omar Miller"
Sony,3,"Great Britain",www.sony.com,30,950,"Pat Webster"
Gorenje,2,Bulgaria,www.gorenje.com,10,150,"Grace Houston"
